userId,courseId,enrollmentDate,completionPercentage,courseName,courseDuration,courseDifficulty,learningPathId,learningPathName
453,3234,2024-03-19,99,Ultimate Web Designer & Developer Course: Build 23 Projects!,32.5,Beginner,17,Security for Software Engineers
29,3374,2024-01-27,15,How to create a  video blog with WordPress,4.5,Beginner,8,Version Control with Git
131,349,2024-01-05,78,Hedge Fund Trading System,1.0,Beginner,7,Data Structures and Algorithms
78,500,2024-05-18,48,Algorithmic futures trading - Investing with no experience,1.5,Beginner,5,DevOps Engineering
499,506,2024-04-14,41,Using Xero for your bookkeeping needs  do beautiful business,1.0,Beginner,16,Cloud-Native Application Development
226,3112,2024-04-01,69,Introduction to Elm,1.0,Intermediate,7,Data Structures and Algorithms
68,613,2024-06-01,46,How to read a Profit & Loss Account and Balance Sheet,2.0,Beginner,11,Agile Software Development
162,1678,2023-12-24,95,Aula de Photoshop - Aprenda como recortar imagens,2.0,Beginner,15,Machine Learning for Software Engineers
225,605,2024-05-04,59,CPA 10 COMPLETO,5.0,Beginner,15,Machine Learning for Software Engineers
493,640,2024-05-02,87,Create Trading Robot Without Coding Skills!,1.0,Beginner,2,Full-Stack Web Development
101,2260,2024-06-04,65,Curso de Teclado,1.5,Beginner,10,Frontend Engineering with React
412,1704,2024-08-28,1,Course Bundle | Exploring Art : Silhouette & Linear Line Art,1.0,Beginner,18,Advanced JavaScript
151,1429,2024-07-04,19,Learn  After Effects and master 3d layers in after effects,1.5,Beginner,10,Frontend Engineering with React
17,2601,2023-10-29,37,Master ExpressJS to Build Web Apps with NodeJS&JavaScript,3.5,Beginner,11,Agile Software Development
173,2397,2024-02-08,65,Ukulele 3:  Intermediate,0.65,Intermediate,8,Version Control with Git
10,1504,2023-11-24,70,Photoshop - Composição vintage,1.0,Beginner,18,Advanced JavaScript
227,2359,2024-06-29,3,Getting Started with Power Chords,1.0,Beginner,15,Machine Learning for Software Engineers
239,2880,2024-07-26,95,Learn How to Create Your Own Social Network,2.0,Beginner,3,Mobile App Development
439,2689,2024-02-25,26,Using Modern JavaScript Today,16.5,Intermediate,16,Cloud-Native Application Development
193,2284,2023-11-25,91,Blues Guitar Lessons - Blues Guitar - Robert Johnson,2.5,Intermediate,4,Software Architecture Design
42,1023,2024-05-02,52,Investing in Stocks & Shares,2.0,Beginner,19,RESTful API Design
462,1705,2024-06-28,20,How To Build Your Own Web Banner Design Business,1.0,Beginner,3,Mobile App Development
500,2037,2024-01-05,69,"How to play 'Electric Guitar"",https://www.udemy.com/electric-guitar-beginners-method/,true,50,1105,5,20,Beginner Level,2 hours,2016-12-29T00:24:06Z
42038,Learn Piano Today: How to Play Piano Course in Quick Lessons""",5.0,Beginner,17,Security for Software Engineers
119,2402,2024-06-05,17,4 Week Rhythm Mastery,2.5,Beginner,13,Microservices Architecture
97,2949,2024-04-28,51,Learn Plugin Development in WordPress By Building  Projects,11.0,Beginner,7,Data Structures and Algorithms
199,1801,2023-11-21,31,Playing Piano:  Popular Pieces Vol. II,1.5,Beginner,11,Agile Software Development
488,854,2024-05-25,86,Stock Trading: Insider Tips For Determining Market Direction,1.0,Beginner,9,Backend Engineering with Node.js
400,2837,2024-04-25,1,Master the Basics of HTML5 & CSS3: Beginner Web Development,3.0,Beginner,19,RESTful API Design
75,2322,2023-10-19,33,Total beginner to intermediate guitar - Learn to play by ear,3.0,Beginner,9,Backend Engineering with Node.js
150,1430,2024-01-28,57,Learn Adobe Illustrator CC - All Essentials In 1 Hour!,1.0,Beginner,16,Cloud-Native Application Development
452,2181,2023-11-01,83,Aprende batería con el nuevo método IDT,2.0,Beginner,15,Machine Learning for Software Engineers
345,339,2024-03-17,63,MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),26.0,Beginner,20,CI/CD with Jenkins and GitLab
25,2338,2024-07-13,62,Instant Harmonica - play Over the Rainbow + Skye Boat now!,1.5,Beginner,12,Software Testing and QA
73,1536,2024-04-07,77,Advanced Graphic Design-Photoshop CC 2014 for Photographers,1.5,Beginner,13,Microservices Architecture
124,2816,2024-09-05,29,Email Marketing: Send Unlimited Emails via Own Mail Server,1.0,Beginner,1,Introduction to Programming
235,2824,2024-01-07,56,JavaScript Step by Step how to apply it to your web pages,1.5,Beginner,13,Microservices Architecture
318,3247,2024-04-22,48,Learn and Understand AngularJS,7.0,Beginner,10,Frontend Engineering with React
300,2678,2024-01-09,83,Building Websites Create a fully functional Web contact form,1.5,Beginner,16,Cloud-Native Application Development
237,763,2024-07-29,93,Quantitative Trading Analysis with Python,5.5,Beginner,13,Microservices Architecture
204,165,2023-10-25,31,Stock Market investment: Practical Accounting,3.0,Beginner,16,Cloud-Native Application Development
314,2876,2023-11-04,36,Introduction To Data Analytics Using Microsoft Power BI,1.5,Beginner,14,Database Design and SQL
119,2652,2024-07-23,19,HTML and HTML5 For Beginners 2016,3.0,Beginner,7,Data Structures and Algorithms
109,1457,2024-06-25,84,Learn Blender 3D - The materials and texture course,12.5,Beginner,12,Software Testing and QA
482,1777,2024-06-15,94,The Complete Video Production Guide - Learn Top Video Tools,7.5,Beginner,12,Software Testing and QA
230,981,2024-06-25,65,Beginner Financial Analysis: Invest Like Warren Buffett,0.683333333,Beginner,13,Microservices Architecture
434,298,2024-05-01,80,Beginners Binary Options Course,1.5,Beginner,2,Full-Stack Web Development
204,2799,2024-08-14,90,Inspirational Web Development - A Beginner Approach -,3.5,Beginner,8,Version Control with Git
433,2161,2024-03-09,44,Learn How to Play the Violin - Violin Basics,0.533333333,Beginner,18,Advanced JavaScript
266,1884,2023-10-17,56,Blues Master - Beginner's Techniques Piano Course,1.5,Beginner,2,Full-Stack Web Development
292,2253,2024-01-09,49,Aprende a tocar el piano desde cero,4.0,Beginner,7,Data Structures and Algorithms
459,3572,2024-01-11,58,Learn to Build Web Apps using UnderscoreJS : Code Like a Pro,3.5,Beginner,4,Software Architecture Design
478,25,2023-11-03,63,The Complete Ethereum Course: Get .01 Ether In Your Wallet,2.0,Beginner,4,Software Architecture Design
365,844,2024-08-05,55,188% Profit in 1Year - Forex ALGO Robot Trading no indicator,2.0,Beginner,4,Software Architecture Design
482,1665,2024-08-08,89,Learn Adobe Photoshop from scratch to professional,3.5,Beginner,2,Full-Stack Web Development
419,988,2024-03-25,94,Simple Options Trading System,1.5,Intermediate,5,DevOps Engineering
477,5,2024-02-01,78,How To Maximize Your Profits Trading Options,2.0,Intermediate,2,Full-Stack Web Development
73,1828,2023-10-22,62,Instant Harmonica - play Dylan's Blowing in the Wind today!,1.0,Beginner,19,RESTful API Design
355,3674,2024-06-14,57,Learn jQuery from Scratch - Master of JavaScript library,2.0,Beginner,1,Introduction to Programming
405,826,2023-12-24,46,Learn Basic Concepts of Economics Step by Step - Complete,1.5,Beginner,4,Software Architecture Design
175,272,2023-10-18,26,Learn How to Play CashFlow Game,1.0,Beginner,3,Mobile App Development
278,1167,2023-12-09,45,How to Make IT Work Successfully in Capital Markets,3.0,Beginner,11,Agile Software Development
86,1549,2024-08-18,35,Create a Majestic Bear on Adobe Illustrator,1.0,Beginner,20,CI/CD with Jenkins and GitLab
119,3450,2024-06-16,91,Introduction to HTML,1.5,Beginner,4,Software Architecture Design
155,3332,2024-07-23,9,Web Hosting Introduction: How to Publish Your Website Online,1.0,Beginner,15,Machine Learning for Software Engineers
325,2197,2024-03-31,97,The Fun and Effective Piano Course,3.5,Beginner,14,Database Design and SQL
363,963,2024-04-07,69,Stock Trading Essentials for Day Traders,1.0,Beginner,8,Version Control with Git
435,1689,2024-01-05,57,Ribbon Lettering: From Sketch to Wordmark,0.716666667,Beginner,20,CI/CD with Jenkins and GitLab
14,3526,2024-08-22,73,Your Own Site in 45 Min: The Complete Wordpress Course,4.0,Beginner,7,Data Structures and Algorithms
281,829,2024-08-28,68,Bitcoin Investing: The Complete Buy & Hold Strategy,4.0,Beginner,8,Version Control with Git
308,1305,2024-06-12,46,Make tech circles in Photoshop in 30 minutes!,0.566666667,Beginner,9,Backend Engineering with Node.js
262,3254,2024-05-15,29,Advanced React and Redux,12.0,Intermediate,11,Agile Software Development
12,2221,2024-04-14,8,Bending the blue notes to give you killer sound on harmonica,2.0,Intermediate,20,CI/CD with Jenkins and GitLab
464,1610,2023-12-19,83,Practical Font Design,7.5,Intermediate,3,Mobile App Development
275,93,2024-01-17,35,Learn How To Successfully Trade Stocks: In 5 Simple Steps,9.5,Beginner,12,Software Testing and QA
115,267,2023-11-12,96,Build A Career In Forex Trading- Learn Fundamental Analysis,3.5,Beginner,15,Machine Learning for Software Engineers
21,309,2024-03-08,2,Bookkeeping Made Easy,1.5,Beginner,17,Security for Software Engineers
119,415,2024-03-18,30,How to trade options,0.716666667,Intermediate,5,DevOps Engineering
204,645,2024-08-23,5,Xero Bookkeeping Course & Certification by Accounting Firm,2.0,Beginner,20,CI/CD with Jenkins and GitLab
106,2698,2024-02-27,70,Full-Stack Web Apps with Meteor and React,31.5,Beginner,20,CI/CD with Jenkins and GitLab
51,2904,2024-07-25,20,Develop Competitive Plugins for WordPress and WooCommerce,1.0,Beginner,3,Mobile App Development
269,3237,2024-05-01,54,Projects in Node.js - Learn by Example,5.0,Beginner,8,Version Control with Git
115,2409,2024-01-25,6,Spice up your playing with some easy Flamenco techniques! ,0.733333333,Intermediate,8,Version Control with Git
485,2435,2024-04-27,1,Learn to play in the Key of G on any Bluegrass Instrument,2.5,Beginner,1,Introduction to Programming
292,2981,2024-07-20,45,Crash Course - Learn to Create a PHP MVC Framework,1.0,Beginner,14,Database Design and SQL
415,25,2023-11-24,27,The Complete Ethereum Course: Get .01 Ether In Your Wallet,2.0,Beginner,4,Software Architecture Design
161,2596,2024-06-20,20,Practical Guide to Web Development,2.0,Beginner,4,Software Architecture Design
286,386,2024-05-29,72,7 Steps: Your Introduction to Trading,5.0,Beginner,10,Frontend Engineering with React
32,3430,2023-11-29,73,Ruby on Rails a Beginners Guide ,6.5,Beginner,5,DevOps Engineering
181,1759,2024-05-18,39,Adobe Suite : Unleash your creativity & benefit from it !,9.5,Beginner,2,Full-Stack Web Development
404,1602,2024-08-21,72,初めてのiDraw入門,1.5,Beginner,2,Full-Stack Web Development
182,2860,2024-06-11,75,Introduction to web programming for GIS applications,13.5,Beginner,6,Cloud Computing Foundations
145,3124,2023-11-09,66,Beginners Introduction to Web Development,1.5,Beginner,16,Cloud-Native Application Development
93,2196,2024-03-18,93,Master the Tuba - Intermediate Instruction Made Simple!,8.5,Intermediate,20,CI/CD with Jenkins and GitLab
208,852,2023-10-19,54,Corporate Finance and Alternative Investment for CFA L1,4.5,Beginner,11,Agile Software Development
236,3511,2023-11-09,51,Projects in Foundation Framework - Learn By Building 10 Apps,10.0,Beginner,5,DevOps Engineering
357,2908,2023-10-12,45,Ultimate Css & JQuery Form Designing From Beginner to Expert,1.0,Beginner,2,Full-Stack Web Development
339,1952,2024-05-21,12,Piano From Zero To Pro - Beginner Essentials To The Piano,3.5,Beginner,6,Cloud Computing Foundations
228,277,2024-02-07,33,Trading con retrocesos de Fibonacci,2.5,Beginner,7,Data Structures and Algorithms
205,1518,2024-03-13,56,How to illustrate in Flash ,2.0,Beginner,7,Data Structures and Algorithms
84,3211,2024-03-15,8,JavaScript programming: JavaScript for beginners,5.0,Beginner,2,Full-Stack Web Development
349,2960,2024-01-13,63,How to Set Up a Self-Hosted Wordpress Website in 30 Minutes,0.533333333,Beginner,2,Full-Stack Web Development
26,2466,2024-09-03,15,Pure Modal Magic: The Complete Guitar Modes Solution,2.0,Beginner,7,Data Structures and Algorithms
291,1142,2023-11-12,94,Financial Accounting Part I - Passing the Class,4.5,Beginner,12,Software Testing and QA
129,2981,2024-06-03,8,Crash Course - Learn to Create a PHP MVC Framework,1.0,Beginner,14,Database Design and SQL
386,1634,2024-01-08,9,How to Draw Majestic Animals: Dogs,1.0,Beginner,13,Microservices Architecture
396,1611,2024-06-07,100,Smashing Photoshop CC/CS,5.0,Beginner,8,Version Control with Git
363,1066,2024-04-22,26,Optimize! Make Best Decisions with Microsoft Excel,1.0,Advanced,10,Frontend Engineering with React
113,709,2023-12-16,37,Navigate the 10-K and Other Financial Reports,2.5,Beginner,11,Agile Software Development
478,3389,2023-11-28,22,Learn how to quickly build websites using Wordpress,3.5,Beginner,9,Backend Engineering with Node.js
407,2589,2023-10-13,92,Effective Personal Website Building and Hosting,1.0,Beginner,14,Database Design and SQL
381,1755,2023-10-30,89,Master Graphic Design Using Photoshop with Rachael,1.5,Beginner,11,Agile Software Development
403,474,2024-04-03,50,How to Read Financial Statements:  Build Financial Literacy.,1.5,Beginner,13,Microservices Architecture
63,2033,2024-04-04,97,Modern Country Guitar: Technique Booster,2.5,Intermediate,17,Security for Software Engineers
443,2011,2024-04-22,6,The Circle of Fifths for Guitarists,1.5,Intermediate,15,Machine Learning for Software Engineers
442,3556,2024-06-07,50,"Learn animation using CSS3, Javascript and HTML5",2.5,Beginner,11,Agile Software Development
262,3351,2024-02-29,4,Implementing a Data Warehouse with SQL Server 2012 ,5.0,Beginner,15,Machine Learning for Software Engineers
181,800,2024-02-07,15,Learn about it,1.5,Beginner,19,RESTful API Design
475,644,2024-03-17,33,"CFA Level I Workshop 5: Corp Finance, Quants II & Derivative",1.0,Beginner,5,DevOps Engineering
186,2870,2024-05-06,38,Build A Great Wordpress Website For Your Business in 2 Hours,2.0,Beginner,2,Full-Stack Web Development
374,1459,2024-02-05,70,"Quote Images for Pinterest, Facebook, & Instagram",1.0,Beginner,7,Data Structures and Algorithms
37,2555,2024-07-19,61,Dynamic JavaScript Master Class AJAX JSON Simple APIs,4.5,Intermediate,8,Version Control with Git
403,1794,2024-04-30,6,Adobe Photoshop CC | The Essential Guide,4.5,Beginner,12,Software Testing and QA
457,2562,2024-03-03,61,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,4.0,Beginner,10,Frontend Engineering with React
354,1661,2024-01-13,27,Graphic Design: Create Animated GIF Ad Banners in Photoshop,1.0,Beginner,16,Cloud-Native Application Development
248,1256,2024-05-04,80,Logo Designing for Your Business in an Hour,1.0,Beginner,2,Full-Stack Web Development
469,3611,2024-05-09,42,HTTP Clients with Laravel: Use and Consume Services and APIs,3.5,Intermediate,13,Microservices Architecture
331,729,2024-02-05,60,Chartered Financial Analyst (CFA) - Level 1 - FRA,14.5,Beginner,14,Database Design and SQL
50,2039,2024-03-22,68,Learn to Read & Write Music to play Piano & more instruments,10.5,Beginner,6,Cloud Computing Foundations
299,961,2024-07-12,89,The Psychology of Trading,1.0,Beginner,9,Backend Engineering with Node.js
71,3451,2023-10-31,88,Learn JavaScript From Scratch:Become Top Rated Web Developer,5.0,Beginner,13,Microservices Architecture
362,2037,2024-05-26,12,"How to play 'Electric Guitar"",https://www.udemy.com/electric-guitar-beginners-method/,true,50,1105,5,20,Beginner Level,2 hours,2016-12-29T00:24:06Z
42038,Learn Piano Today: How to Play Piano Course in Quick Lessons""",5.0,Beginner,17,Security for Software Engineers
155,2938,2024-01-07,76,Learn Bootstrap And Make Responsive Websites,3.5,Beginner,19,RESTful API Design
490,2756,2024-06-22,80,Become A Web Developer And Seller - Build Websites With HTML,2.5,Beginner,10,Frontend Engineering with React
29,2352,2024-05-06,21,Advanced Saxophone Studies - Learn to Master the Saxophone!,4.0,Intermediate,9,Backend Engineering with Node.js
99,1155,2023-12-28,38,Learn to Trade Forex Naked Price Action Wammie Trade,1.0,Beginner,15,Machine Learning for Software Engineers
476,1441,2024-02-17,35,"Become a Graphic Designer, and earn a living from it",3.0,Beginner,14,Database Design and SQL
355,2436,2024-02-12,13,Beginner Guitar Method,4.0,Beginner,6,Cloud Computing Foundations
342,1150,2023-12-15,23,Professional Forex strategy,1.5,Advanced,17,Security for Software Engineers
428,2313,2024-07-22,30,Ultimate Beginner Guitar Guide - Both Acoustic & Electric ,2.0,Beginner,13,Microservices Architecture
25,256,2023-10-23,55,Fundraise the Simplified Way: A Crowdfunding Blueprint,1.0,Beginner,19,RESTful API Design
466,28,2024-04-20,42,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,2.0,Intermediate,13,Microservices Architecture
418,1440,2024-01-29,89,Mastering Photoshop Elements 13 Made Easy Training Tutorial,10.5,Beginner,9,Backend Engineering with Node.js
38,246,2024-03-09,59,How to Become a Financial Analyst from Scratch!,5.0,Beginner,19,RESTful API Design
185,3009,2024-03-31,37,Kids Coding - Beginner HTML,1.0,Beginner,13,Microservices Architecture
310,1148,2024-03-27,31,Learn Stock Options: Options Made Simple 101,5.0,Beginner,5,DevOps Engineering
431,3475,2024-01-04,46,The Ultimate jQuery Course,2.5,Beginner,16,Cloud-Native Application Development
380,1151,2024-06-15,5,A Beginners Guide to Technical Analysis of Stock Charts,8.5,Beginner,15,Machine Learning for Software Engineers
417,1186,2024-01-29,91,Step by step guide to understand how business perform,0.633333333,Intermediate,18,Advanced JavaScript
132,332,2024-08-19,52,Case Studies in Macro Economics,4.0,Beginner,20,CI/CD with Jenkins and GitLab
451,2966,2024-01-30,63,Introduction to CSS Development,2.0,Beginner,6,Cloud Computing Foundations
197,1818,2024-05-16,74,Guitar for Beginners - Learn the Basics,0.516666667,Beginner,3,Mobile App Development
487,1004,2024-08-22,81,Sell like a Pro: Insider Secrets of Successful Selling!,2.5,Beginner,9,Backend Engineering with Node.js
70,1403,2024-04-26,64,Learn Photoshop CC Essentials,4.5,Beginner,4,Software Architecture Design
340,633,2024-05-26,51,Accounting 101: Guide to Business Accounting,14.5,Beginner,4,Software Architecture Design
147,422,2023-11-28,24,Asset Protection Using Offshore Companies,1.0,Beginner,5,DevOps Engineering
135,2821,2023-10-16,10,Learn React : The World's Most Lucrative JavaScript Library,9.5,Beginner,10,Frontend Engineering with React
199,2871,2024-09-08,20,Wordpress on AWS: The Easy way to AWS for Free Fast hosting ,1.0,Beginner,6,Cloud Computing Foundations
9,3483,2024-03-04,2,Create a Client Network by Hosting WordPress Sites,1.0,Intermediate,3,Mobile App Development
496,2497,2023-10-11,48,How To Make A Wordpress Website 2017 - Divi Theme Tutorial,3.0,Beginner,19,RESTful API Design
358,667,2024-05-18,4,Level 1 2014 CFA® Program – Equity Investments,4.5,Beginner,10,Frontend Engineering with React
233,3259,2024-06-02,18,"Create a Simple Photo Gallery with Dropzonejs, Slick and PHP",0.733333333,Beginner,1,Introduction to Programming
105,661,2024-01-26,94,"Bitcoins - Past, Present, Future",1.5,Beginner,12,Software Testing and QA
299,1168,2024-06-18,31,Introduction to Day Trading,1.0,Beginner,16,Cloud-Native Application Development
72,857,2023-10-14,43,Learn Quickbooks to maintain books properly,2.5,Beginner,7,Data Structures and Algorithms
93,2818,2024-03-26,76,Learn the basics of the Web development: Coding Tactics,2.0,Beginner,11,Agile Software Development
77,3435,2023-11-24,31,HTML 5 and CSS 3 - tricks and workarounds,5.5,Beginner,3,Mobile App Development
39,2045,2023-10-31,92,Fun Ukulele Strumming Course,1.0,Beginner,19,RESTful API Design
128,2454,2023-12-01,97,Learn Oud 2,3.0,Intermediate,2,Full-Stack Web Development
415,2370,2024-05-14,3,88 Logic - The Essential Guide To Learning Piano,0.533333333,Beginner,10,Frontend Engineering with React
133,1031,2023-10-11,56,Einnahmen aus Udemy-Kursen als Dozent korrekt versteuern,1.0,Beginner,14,Database Design and SQL
4,3116,2023-11-02,81,The Build a SAAS App with Flask Course,10.0,Beginner,5,DevOps Engineering
318,1084,2023-11-25,55,Tally ERP Complete Training in Urdu / Hindi,5.0,Beginner,20,CI/CD with Jenkins and GitLab
182,3662,2024-01-03,45,Learn HTML5 Canvas for beginners,3.5,Beginner,11,Agile Software Development
269,2023,2024-06-14,88,Acoustic Fingerstyle Guitar Course: Beginner to Advanced,4.0,Beginner,9,Backend Engineering with Node.js
195,835,2024-07-23,47,Cost Accounting Overheads (Professional Course Level),2.5,Beginner,10,Frontend Engineering with React
6,2455,2024-08-01,61,The Essentials of Acoustic Guitar Strumming Patterns,1.0,Beginner,16,Cloud-Native Application Development
34,1434,2023-11-02,3,Complete Portrait and Figure Drawing (step-by-step),1.5,Beginner,4,Software Architecture Design
131,1208,2024-01-05,63,Illustrator Quick Tip：10分でKawaiiカメレオンを描こう,0.6,Beginner,4,Software Architecture Design
372,2839,2023-10-22,12,Projects In ReactJS - The Complete React Learning Course,8.0,Intermediate,9,Backend Engineering with Node.js
420,521,2024-08-02,30,Decide whether to Invest in a Business ,1.0,Beginner,14,Database Design and SQL
483,2461,2024-03-22,76,Play Autumn Leaves' falling notes on piano with no reading!,0.566666667,Intermediate,1,Introduction to Programming
43,67,2024-02-20,54,Options Trading Basics (3-Course Bundle),11.0,Beginner,8,Version Control with Git
418,2464,2024-02-22,75,Bones of the Blues - learn 4 cool tunes to expert level now!,2.0,Beginner,14,Database Design and SQL
426,875,2024-04-10,23,TRADER BOT: Introdução à Linguagem MQL5,70.0,Beginner,17,Security for Software Engineers
335,3493,2024-01-18,33,Learn MeteorJS By Building 10 Real World Projects,15.0,Beginner,15,Machine Learning for Software Engineers
377,1893,2023-11-09,3,How to play in a local Irish music session with confidence,1.0,Beginner,1,Introduction to Programming
154,1721,2024-07-30,15,Zombie Apocalypse Photoshop Actions,1.5,Beginner,18,Advanced JavaScript
144,2998,2023-10-22,93,Learn Jquery from Scratch 2-Hour Training ,1.5,Beginner,8,Version Control with Git
56,1449,2024-07-29,69,Most Wanted Flat Design Techniques #3: Office Space,2.0,Intermediate,18,Advanced JavaScript
459,2426,2024-06-02,40,Sintetizadores e Síntese Subtrativa,5.0,Beginner,5,DevOps Engineering
37,541,2023-12-06,60,Essential Options: Strategies for Mastering the Stock Market,5.0,Intermediate,8,Version Control with Git
27,2991,2024-07-04,33,Learn Ajax and jquery with PHP,1.5,Beginner,4,Software Architecture Design
432,1055,2024-07-06,82,Gestão Financeira Para Pequenas e Médias Empresas,4.5,Beginner,5,DevOps Engineering
354,3134,2024-08-05,2,"Web Scraping with Python, Ruby & import. io",4.5,Beginner,9,Backend Engineering with Node.js
75,1112,2024-02-25,21,TRADING FOR A LIVING: Trading Full-Time Transition Guide,3.5,Intermediate,17,Security for Software Engineers
394,77,2024-01-23,34,What Finance Job is for You? Explanation of 14 Finance Roles,4.0,Beginner,1,Introduction to Programming
490,2631,2024-03-31,50,PHP Fundamentals - Start Earning The Top Dollars You Deserve,1.5,Beginner,6,Cloud Computing Foundations
329,1701,2024-01-17,55,How To Sell Practically Anything: Professional Design Mockup,2.5,Beginner,11,Agile Software Development
314,2565,2024-06-29,8,The Docker for DevOps course: From development to production,7.5,Beginner,8,Version Control with Git
266,802,2023-11-16,79,Options Spreads Bundle-  the heart of Options Trading,2.5,Intermediate,12,Software Testing and QA
106,774,2024-01-22,58,Learn to invest in the Stock Market,1.0,Beginner,9,Backend Engineering with Node.js
203,1957,2024-07-27,32,How to speak Pianish (beginner level),1.0,Beginner,2,Full-Stack Web Development
403,1420,2024-05-26,58,Design bestselling T-shirts from Beginner to Expert.,0.666666667,Beginner,1,Introduction to Programming
52,804,2024-02-23,69,Investment Portfolio Analysis with R,6.5,Beginner,10,Frontend Engineering with React
146,410,2023-12-07,6,Practical Trading on Financial Futures & Options Markets,4.0,Beginner,10,Frontend Engineering with React
125,2082,2024-05-02,32,Instant Harmonica - play Somewhere Over the Rainbow now!,1.0,Beginner,5,DevOps Engineering
95,3240,2023-12-11,57,Web Programming Course : Asp.Net MVC,3.5,Beginner,4,Software Architecture Design
343,1162,2023-12-19,49,Easy Market Profits: 3 Step Stock Investing Strategy,3.0,Beginner,2,Full-Stack Web Development
